시설명,시설코드,시설종류명(시설유형),시설종류상세명,자치구,위도,경도
서울특별시립장애인생산품판매시설,C1582,(장애인) 장애인생산품판매시설,장애인생산품판매시설,양천구,37.5119018,126.9324477
동작구립장애인보호작업장,C1583,(장애인) 장애인보호작업장,장애인직업재활시설,동작구,37.5704464,127.033811
성동주간보호센터,C1588,(장애인) 장애인주간보호시설,장애인지역사회재활시설,성동구,37.5529222,127.0185414
성모보호작업장,C1589,(장애인) 장애인보호작업장,장애인직업재활시설,성동구,37.5704464,127.033811
성동보호작업장,C1590,(장애인) 장애인보호작업장,장애인직업재활시설,성동구,37.5529157,127.0187327
성동장애인복지관공동생활가정(믿음의집),C1591,(장애인) 장애인공동생활가정,장애인거주시설,성동구,37.5529157,127.0187327
성동장애인복지관공동생활가정(소망의집),C1592,(장애인) 장애인공동생활가정,장애인거주시설,성동구,37.5529157,127.0187327
성동장애인복지관공동생활가정(사랑의집),C1593,(장애인) 장애인공동생활가정,장애인거주시설,성동구,37.552251,127.0211812
성동장애인복지관 공동생활가정(기쁨의 집),C1594,(장애인) 장애인공동생활가정,장애인거주시설,성동구,37.5700494,127.0809169
광진장애인보호작업장,C1607,(장애인) 장애인보호작업장,장애인직업재활시설,광진구,37.5842814,126.9070315
은평구수어통역센터,C1616,(장애인) 수어통역센터,장애인지역사회재활시설,은평구,37.5509,127.0974583
정립장애인보호작업장,C1620,(장애인) 장애인보호작업장,장애인직업재활시설,광진구,37.549987,127.0972229
정립전자,C1621,(장애인) 장애인근로사업장,장애인직업재활시설,광진구,37.4961857,126.9268403
보라매그룹홈,C1645,(장애인) 장애인공동생활가정,장애인거주시설,동작구,37.68537,127.0440835
자운그룹홈,C1653,(장애인) 장애인공동생활가정,장애인거주시설,도봉구,37.4745206,126.9842397
까리따스장애인주간보호센터,C1662,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서초구,37.4856837,126.9873598
사랑의일터,C1675,(장애인) 장애인보호작업장,장애인직업재활시설,서초구,37.5406968,126.8419911
교남공동생활가정4호,C1681,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5413329,126.842538
교남공동생활가정1호,C1684,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.4920242,126.8206209
구로구립장애인보호작업장,C1685,(장애인) 장애인보호작업장,장애인직업재활시설,구로구,37.644436,127.0733938
동천재활체육시설,C1686,(장애인) 장애인체육시설,장애인지역사회재활시설,노원구,37.5417749,126.8481165
교남공동생활가정6호,C1687,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5436685,126.8428277
교남공동생활가정5호,C1688,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.4984991,127.0212456
서초구수어통역센터,C1689,(장애인) 수어통역센터,장애인지역사회재활시설,서초구,37.4932342,126.9197115
서울남부보호작업장,C1692,(장애인) 장애인보호작업장,장애인직업재활시설,동작구,37.5555218,127.1484452
서울장애인종합복지관,C1693,(장애인) 장애인복지관,장애인지역사회재활시설,강동구,37.642332,127.0566646
오뚜기뇌성마비인주간보호센터,C1695,(장애인) 장애인주간보호시설,장애인지역사회재활시설,노원구,37.5015746,127.138244
참사랑주간보호센터,C1696,(장애인) 장애인주간보호시설,장애인지역사회재활시설,송파구,37.6330201,127.0363018
번동보호작업장,C1698,(장애인) 장애인보호작업장,장애인직업재활시설,강북구,37.5574997,126.9837479
여성시각장애인주간보호센터,C1705,(장애인) 장애인주간보호시설,장애인지역사회재활시설,중구,37.5491524,126.9404737
맑음터단기보호시설,C1709,(장애인) 장애인단기거주시설,장애인거주시설,마포구,37.5042046,127.1104039
연화직업재활원,C1712,(장애인) 장애인보호작업장,장애인직업재활시설,송파구,37.4998084,127.0239881
사랑의복지관 재가복지봉사센터,C1714,(장애인) 장애인복지관,장애인지역사회재활시설,서초구,37.6643865,127.0691425
하하센터,C1721,(장애인) 장애인주간보호시설,장애인지역사회재활시설,노원구,37.4806312,127.0230233
서초구립주간이용센터,C1722,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서초구,37.5829851,126.9666735
라파엘 주간보호시설,C1727,(장애인) 장애인주간보호시설,장애인지역사회재활시설,종로구,37.5607845,126.9603068
서대문주간보호시설,C1729,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서대문구,37.57681,126.9333143
서은단기보호시설,C1730,(장애인) 장애인단기거주시설,장애인거주시설,서대문구,37.5953909,126.9115881
브니엘공동생활가정,C1734,(장애인) 장애인공동생활가정,장애인거주시설,은평구,37.5956606,126.9104394
벧엘공동생활가정,C1735,(장애인) 장애인공동생활가정,장애인거주시설,은평구,37.6564936,127.0760342
중계종합사회복지관장애인주간보호센터,C1742,(장애인) 장애인주간보호시설,장애인지역사회재활시설,노원구,37.5067812,126.9052177
새생명장애인주간보호소,C1743,(장애인) 장애인주간보호시설,장애인지역사회재활시설,영등포구,37.5836166,127.0051441
비둘기주간보호시설,C1744,(장애인) 장애인주간보호시설,장애인지역사회재활시설,종로구,37.5836166,127.0051441
비둘기직업적응훈련센터,C1745,(장애인) 장애인직업적응훈련시설,장애인직업재활시설,종로구,37.5587393,126.9867567
중구수어통역센터,C1746,(장애인) 수어통역센터,장애인지역사회재활시설,중구,37.55897742,126.9867352
미술작은예수의집,C1747,(장애인) 장애인공동생활가정,장애인거주시설,송파구,37.5175666,126.9108655
영등포구수어통역센터,C1750,(장애인) 수어통역센터,장애인지역사회재활시설,영등포구,37.6587743,127.0685054
노원구수어통역센터,C1751,(장애인) 수어통역센터,장애인지역사회재활시설,노원구,37.4944915,127.019544
(사)대한안마사협회부설안마수련원,C1753,(장애인) 장애인보호작업장,장애인직업재활시설,서초구,37.6370282,127.0170402
한마음주간보호시설,C1757,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강북구,37.6442106,127.0149472
한마음단기거주시설,C1758,(장애인) 장애인단기거주시설,장애인거주시설,강북구,37.5409685,126.9595512
햇빛자리,C1761,(장애인) 장애인주간보호시설,장애인지역사회재활시설,용산구,37.5637278,126.9088528
마포장애인주간보호센터,C1762,(장애인) 장애인주간보호시설,장애인지역사회재활시설,마포구,37.5569797,126.8987205
마포점자도서실,C1764,(장애인) (기타)장애인복지시설,장애인기타,마포구,37.6502254,127.0374144
피어라희망센터,C1771,(장애인) 장애인주간보호시설,장애인지역사회재활시설,도봉구,38.1886428,127.3664255
문혜장애인보호작업장,C1776,(장애인) 장애인보호작업장,장애인직업재활시설,철원군,37.4998016,127.1467621
무지개동산주간보호,C1784,(장애인) 장애인주간보호시설,장애인지역사회재활시설,송파구,37.4906968,127.1312532
송파구수어통역센터,C1786,(장애인) 수어통역센터,장애인지역사회재활시설,송파구,37.5704464,127.033811
성동구수어통역센터,C1790,(장애인) 수어통역센터,장애인지역사회재활시설,성동구,37.4844911,127.1289611
마라주간보호센터,C1793,(장애인) 장애인주간보호시설,장애인지역사회재활시설,송파구,37.5462769,127.163933
주몽재활의원,C1798,(장애인) 장애인의료재활시설,장애인의료재활시설,강동구,37.6945202,127.0421215
장애인주간보호시설인강원,C1801,(장애인) 장애인주간보호시설,장애인지역사회재활시설,도봉구,37.6945202,127.0421215
보호작업장 인강원,C1802,(장애인) 장애인보호작업장,장애인직업재활시설,도봉구,37.6666074,127.0367175
베데스다의집아미네,C1820,(장애인) 장애인공동생활가정,장애인거주시설,도봉구,37.6636782,127.036776
도봉주간보호센터,C1822,(장애인) 장애인주간보호시설,장애인지역사회재활시설,도봉구,37.5001133,127.1019601
마라제3공동생활가정,C1831,(장애인) 장애인공동생활가정,장애인거주시설,송파구,37.4844911,127.1289611
마라제1공동생활가정,C1832,(장애인) 장애인공동생활가정,장애인거주시설,송파구,37.4844911,127.1289611
마라제2공동생활가정,C1833,(장애인) 장애인공동생활가정,장애인거주시설,송파구,37.5035989,127.0369205
충현보호작업장,C1855,(장애인) 장애인보호작업장,장애인직업재활시설,강남구,37.4972964,127.1518434
THE채움,C1863,(장애인) 장애인주간보호시설,장애인지역사회재활시설,송파구,37.354606,127.7163026
라파엘의집,C1866,(장애인) 중증장애인거주시설,장애인거주시설,여주시,37.3465514,127.7343004
라파엘직업재활센터,C1870,(장애인) 장애인보호작업장,장애인직업재활시설,여주시,37.5496921,126.9797563
자립홈,C1872,(장애인) 장애인공동생활가정,장애인거주시설,용산구,37.1316505,127.3726934
효정비전타운,C1873,(장애인) 중증장애인거주시설,장애인거주시설,용인시,37.6363909,127.0157801
헬렌켈러의집,C1875,(장애인) 장애인공동생활가정,장애인거주시설,강북구,37.517398,127.0406221
강남구수어통역센터,C1878,(장애인) 수어통역센터,장애인지역사회재활시설,강남구,37.5074776,127.0270781
논현공동생활가정,C1880,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.4925076,127.0751123
하상주간보호센터,C1882,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강남구,37.5505256,126.9219611
라온홈,C1886,(장애인) 장애인공동생활가정,장애인거주시설,마포구,37.5428039,126.9601605
한벗장애인주간보호시설,C1888,(장애인) 장애인주간보호시설,장애인지역사회재활시설,용산구,37.55013,126.9799974
행복이가득한집,C1891,(장애인) 장애인공동생활가정,장애인거주시설,용산구,37.5401472,126.8678144
임마누엘목동공동체,C1892,(장애인) 장애인공동생활가정,장애인거주시설,양천구,37.4814479,126.9061256
실로암배움울타리,C1894,(장애인) 장애인공동생활가정,장애인거주시설,관악구,37.5467049,127.1672451
사랑쉼터의집,C1897,(장애인) 장애유형별거주시설,장애인거주시설,강동구,37.5275866,126.8355494
베다니장애인주간보호시설 ,C1917,(장애인) 장애인주간보호시설,장애인지역사회재활시설,양천구,37.5507247,126.9754915
가브리엘의집,C1921,(장애인) 중증장애인거주시설,장애인거주시설,용산구,37.644436,127.0733938
동천일리하우스,C1930,(장애인) 중증장애인거주시설,장애인거주시설,노원구,37.5732924,126.8374995
우리집,C1993,(장애인) 장애인단기거주시설,장애인거주시설,강서구,37.5352948,126.8567509
나눔공동체,C2033,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5485838,126.852913
선린원,C2034,(장애인) 장애인단기거주시설,장애인거주시설,강서구,37.5641316,126.9033115
잔디네집,C2042,(장애인) 장애인공동생활가정,장애인거주시설,마포구,37.5390067,126.8493891
푸른터,C2043,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5408185,126.8335727
푸른터2호,C2044,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5685033,126.8511983
푸른터3호,C2045,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5741667,126.8125535
강서뇌성마비복지관,C2047,(장애인) 장애인복지관,장애인지역사회재활시설,강서구,37.5685033,126.8511983
그라나다보호작업센터,C2050,(장애인) 장애인보호작업장,장애인직업재활시설,강서구,37.543302,126.8414766
강서희망의집,C2057,(장애인) 장애인단기거주시설,장애인거주시설,강서구,37.5703368,126.8054585
주간보호센터햇볕교실,C2058,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강서구,37.5691778,126.8489398
기쁜우리보호작업장,C2059,(장애인) 장애인보호작업장,장애인직업재활시설,강서구,37.5668657,126.8413718
강서구휴먼희망일터,C2066,(장애인) 장애인보호작업장,장애인직업재활시설,강서구,37.6572893,127.0631406
다복스위트홈,C2068,(장애인) 장애인공동생활가정,장애인거주시설,노원구,37.5090958,127.1252345
마라제4공동생활가정,C2069,(장애인) 장애인공동생활가정,장애인거주시설,송파구,37.4925063,126.8913292
양지골장애인주간보호시설,C2072,(장애인) 장애인주간보호시설,장애인지역사회재활시설,구로구,37.5237608,126.8935345
리드릭,C2073,(장애인) 장애인보호작업장,장애인직업재활시설,영등포구,37.5742419,126.8899001
마포구립장애인직업재활센터(수아밀),C2074,(장애인) 장애인보호작업장,장애인직업재활시설,마포구,37.4869823,127.1069593
강남세움주간보호센터,C2078,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강남구광평로60길,37.5492671,126.8514653
파랑새교육원주간보호,C2083,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강서구,37.5385144,126.8511991
화곡성모공동생활가정,C2087,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.4919459,127.0734546
강남장애인복지관,C2092,(장애인) 장애인복지관,장애인지역사회재활시설,강남구,37.4968092,126.8849632
헬렌의집장애인단기보호시설,C2096,(장애인) 장애인단기거주시설,장애인거주시설,구로구,37.5385144,126.8511991
로사리아공동생활가정,C2098,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5732924,126.8374995
우리집주간보호,C2101,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강서구,37.6385404,127.012833
꿈손단기거주시설,C2102,(장애인) 장애인단기거주시설,장애인거주시설,강북구,37.4742398,126.8965588
금천구수어통역센터,C2105,(장애인) 수어통역센터,장애인지역사회재활시설,금천구,37.5587393,126.9867567
시각장애인주간보호센터,C2111,(장애인) 장애인주간보호시설,장애인지역사회재활시설,중구,37.5709309,127.0302499
동대문구수어통역센터,C2112,(장애인) 수어통역센터,장애인지역사회재활시설,동대문구,37.5568445,126.8156863
샬롬의 집,C2135,(장애인) 장애유형별거주시설,장애인거주시설,강서구,37.6503566,127.0220359
디딤돌공동생활가정,C2183,(장애인) 장애인공동생활가정,장애인거주시설,도봉구,37.4963777,127.0319107
역삼주간보호센터,C2194,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강남구,37.5201472,127.0377599
신망애공동생활가정,C2197,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.5219251,127.0419793
서로함께공동생활가정,C2198,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.6154419,126.9143768
똘레랑스,C2199,(장애인) 장애인보호작업장,장애인직업재활시설,은평구,37.5896105,127.0002679
마로니에공동생활가정,C2201,(장애인) 장애인공동생활가정,장애인거주시설,종로구,37.5640016,126.9889272
영락주간보호센터,C2204,(장애인) 장애인주간보호시설,장애인지역사회재활시설,중구,37.5454363,127.0203834
성모주간보호센터,C2207,(장애인) 장애인주간보호시설,장애인지역사회재활시설,성동구,37.6543048,127.0131593
지앤지주간보호센터,C2223,(장애인) 장애인주간보호시설,장애인지역사회재활시설,도봉구,37.5830838,127.0731912
동문장애인복지관,C2225,(장애인) 장애인복지관,장애인지역사회재활시설,동대문구,37.658101,127.036278
성민그룹홈,C2226,(장애인) 장애인공동생활가정,장애인거주시설,도봉구,37.5574254,127.0129108
파란마음주간보호센터,C2227,(장애인) 장애인주간보호시설,장애인지역사회재활시설,중구,37.548179,126.9626153
구립용산장애인복지관,C2236,(장애인) 장애인복지관,장애인지역사회재활시설,용산구,37.4820051,127.0250418
서초구립한우리정보문화센터,C2239,(장애인) 장애인복지관,장애인지역사회재활시설,서초구,37.5152291,127.0212897
다니엘의집4호,C2241,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.5649088,126.9245316
행복한 집,C2274,(장애인) 장애인공동생활가정,장애인거주시설,마포구,37.6556918,127.0691763
성민복지관,C2280,(장애인) 장애인복지관,장애인지역사회재활시설,노원구,37.5691778,126.8489398
기쁜우리복지관,C5036,(장애인) 장애인복지관,장애인지역사회재활시설,강서구,37.6287227,127.0390729
강북장애인종합복지관,C5044,(장애인) 장애인복지관,장애인지역사회재활시설,강북구,37.4991639,126.9466497
삼성소리샘복지관,C5102,(장애인) 장애인복지관,장애인지역사회재활시설,동작구,37.642332,127.0566646
서울시립뇌성마비복지관,C5106,(장애인) 장애인복지관,장애인지역사회재활시설,노원구,37.6422845,127.0578323
서울시립상이군경복지관,C5107,(장애인) 장애인복지관,장애인지역사회재활시설,노원구,37.5555218,127.1484452
서울장애인종합복지관보호작업장,C5161,(장애인) 장애인보호작업장,장애인직업재활시설,강동구,37.5704464,127.033811
성동장애인종합복지관,C5162,(장애인) 장애인복지관,장애인지역사회재활시설,성동구,37.5953654,127.0192147
성북시각장애인복지관,C5163,(장애인) 장애인복지관,장애인지역사회재활시설,성북구,37.4853815,126.9164539
실로암주간보호센터,C5164,(장애인) 장애인주간보호시설,장애인지역사회재활시설,관악구,37.5011544,126.8412868
에덴장애인종합복지관,C5165,(장애인) 장애인복지관,장애인지역사회재활시설,구로구,37.5509,127.0974583
정립회관,C5236,(장애인) 장애인복지관,장애인지역사회재활시설,광진구,37.5511064,127.1646653
한국시각장애인복지관,C5240,(장애인) 장애인복지관,장애인지역사회재활시설,강동구,37.3164594,127.3492521
성분도복지관,C5457,(장애인) 장애인복지관,장애인지역사회재활시설,광주시,37.5198615,126.8699119
양천해누리복지관 ,C5545,(장애인) 장애인복지관,장애인지역사회재활시설,양천구,37.4830195,126.9411664
실로암시각장애인복지관,C6052,(장애인) 장애인복지관,장애인지역사회재활시설,관악구,37.6056209,126.907072
서부장애인종합복지관,C6314,(장애인) 장애인복지관,장애인지역사회재활시설,은평구,37.5594408,126.9570091
서대문장애인종합복지관,C6476,(장애인) 장애인복지관,장애인지역사회재활시설,서대문구,37.4813987,126.8904193
해나무일터,C6557,(장애인) 장애인보호작업장,장애인직업재활시설,구로구,37.4514122,126.9137208
장애인주간보호센터청락원,C6667,(장애인) 장애인주간보호시설,장애인지역사회재활시설,금천구,37.5002903,127.024966
하늘동산,C6684,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서초구,37.4925076,127.0751123
하상장애인복지관,C6685,(장애인) 장애인복지관,장애인지역사회재활시설,강남구,37.5541134,127.0864946
희망의학교,C6714,(장애인) 장애인주간보호시설,장애인지역사회재활시설,광진구,37.5787963,126.9697746
라파엘의집,C6727,(장애인) 장애인단기거주시설,장애인거주시설,종로구,37.4910746,127.1358452
나눔의집,C6817,(장애인) 장애인공동생활가정,장애인거주시설,송파구,37.6213599,127.0836975
다운인의 집,C6851,(장애인) 장애인공동생활가정,장애인거주시설,노원구,37.4972812,126.9466503
장애인공동생활가정다움이네집,C6853,(장애인) 장애인공동생활가정,장애인거주시설,동작구,37.4892041,127.0210673
사랑의가족,C6909,(장애인) 장애인공동생활가정,장애인거주시설,서초구,37.4778403,126.9873153
사랑의그룹홈,C6911,(장애인) 장애인공동생활가정,장애인거주시설,서초구,37.4910746,127.1358452
섬김의집,C6933,(장애인) 장애인공동생활가정,장애인거주시설,송파구,37.5901839,127.030219
성북그룹홈1호,C6939,(장애인) 장애인공동생활가정,장애인거주시설,성북구,37.6056965,127.0118017
성북그룹홈2호,C6940,(장애인) 장애인공동생활가정,장애인거주시설,성북구,37.5018531,126.9279559
사랑손공동생활가정소라네,C6945,(장애인) 장애인공동생활가정,장애인거주시설,동작구,37.6355332,127.0721617
아름다운집,C6983,(장애인) 장애인공동생활가정,장애인거주시설,노원구,37.5355049,127.1402217
아이비해솔그룹홈,C6986,(장애인) 장애인공동생활가정,장애인거주시설,강동구,37.5424057,127.1458853
아이비한울그룹홈,C6987,(장애인) 장애인공동생활가정,장애인거주시설,강동구,37.5485173,127.1431165
아이비잎새그룹홈,C6988,(장애인) 장애인공동생활가정,장애인거주시설,강동구,37.5033852,126.9472452
사랑손공동생활가정연희네,C7008,(장애인) 장애인공동생활가정,장애인거주시설,동작구,37.482982,126.907165
임마누엘관악1공동체공동생활가정,C7037,(장애인) 장애인공동생활가정,장애인거주시설,관악구,37.5604172,126.8448669
임마누엘등촌공동체,C7039,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.515813,126.907605
임마누엘영등포공동체,C7040,(장애인) 장애인공동생활가정,장애인거주시설,영등포구,37.4972841,127.0583475
충현의집1호,C7108,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.5119684,127.0375335
충현의집2호,C7109,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.4711121,127.0457677
충현의집3호,C7110,(장애인) 장애인공동생활가정,장애인거주시설,서초구,37.5219578,127.0417075
충현의집4호,C7111,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.5213939,127.046505
충현의집5호,C7112,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.5012055,127.0588004
충현의집6호,C7113,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.6244803,126.9190146
한마음1호공동생활가정,C7153,(장애인) 장애인공동생활가정,장애인거주시설,은평구,37.5691778,126.8489398
기쁜우리체육센터,C7183,(장애인) 장애인체육시설,장애인지역사회재활시설,강서구,37.4192954,127.2871091
에스알씨(SRC)재활체육관,C7188,(장애인) 장애인체육시설,장애인지역사회재활시설,광주시,37.6051391,126.9075414
서부재활체육센터,C7190,(장애인) 장애인체육시설,장애인지역사회재활시설,은평구,37.4931346,126.9273778
에스알씨(SRC)부설의원,C7535,(장애인) 장애인의료재활시설,장애인의료재활시설,관악구,37.4192954,127.2871091
에스알씨(SRC)재활병원,C7536,(장애인) 장애인의료재활시설,장애인의료재활시설,광주시,37.6056209,126.907072
서울재활병원,C7537,(장애인) 장애인의료재활시설,장애인의료재활시설,은평구,37.6693897,127.0464436
도봉장애인보호작업시설,C7581,(장애인) 장애인보호작업장,장애인직업재활시설,도봉구,37.4844722,127.1288426
마라보호작업장,C7584,(장애인) 장애인보호작업장,장애인직업재활시설,송파구,37.5612058,127.1558668
성지보호작업장,C7594,(장애인) 장애인보호작업장,장애인직업재활시설,강동구,37.5431512,127.1344386
아이비장애인보호작업장,C7598,(장애인) 장애인보호작업장,장애인직업재활시설,강동구,37.6056209,126.907072
은평보호작업장,C7603,(장애인) 장애인보호작업장,장애인직업재활시설,은평구,37.5165921,126.8715748
하은장애인보호작업장,C7614,(장애인) 장애인보호작업장,장애인직업재활시설,양천구,37.4811823,126.8760374
EM실천,C7618,(장애인) 장애인보호작업장,장애인직업재활시설,금천구,37.5604172,126.8448669
꿈자람터장애인주간보호센터,C7651,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강서구,37.642332,127.0566646
서울시립노원시각장애인복지관,C7664,(장애인) 장애인복지관,장애인지역사회재활시설,노원구,37.5481125,126.85254
늘푸른마을,C7669,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강서구,37.488767,126.9412352
도란도란,C7687,(장애인) 장애유형별거주시설,장애인거주시설,관악구,37.5142656,127.1004868
효명장애인보호작업시설,C7713,(장애인) 장애인보호작업장,장애인직업재활시설,송파구,37.4820051,127.0250418
서리풀주간이용센터,C7715,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서초구,37.5052142,126.9464244
동작구수어통역센터,C7718,(장애인) 수어통역센터,장애인지역사회재활시설,동작구,37.5703795,126.9865051
종로구수어통역센터,C7728,(장애인) 수어통역센터,장애인지역사회재활시설,종로구,37.5463459,126.8725362
양천구수어통역센터,C7729,(장애인) 수어통역센터,장애인지역사회재활시설,양천구,37.4923757,126.8964518
성락주간보호,C7743,(장애인) 장애인주간보호시설,장애인지역사회재활시설,영등포구,37.5559772,126.9012821
계명원,C7752,(장애인) 장애인단기거주시설,장애인거주시설,마포구,37.5411879,126.8498024
열린마음하나,C7761,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.4972812,126.9466503
삼성그룹홈1호,C7783,(장애인) 장애인공동생활가정,장애인거주시설,동작구,37.4953752,126.8857028
민들레쉼터장애인주간보호시설,C7798,(장애인) 장애인주간보호시설,장애인지역사회재활시설,구로구,37.7955868,126.9227721
실로암 효명의 집,C7820,(장애인) 중증장애인거주시설,장애인거주시설,양주시,37.5283635,126.8372185
드림하우스,C7823,(장애인) 장애인공동생활가정,장애인거주시설,양천구,37.5281812,127.1331777
선한복지센터,C7834,(장애인) 장애인보호작업장,장애인직업재활시설,강동구,37.536305,127.1417072
사랑나눔강동,C7835,(장애인) 장애인공동생활가정,장애인거주시설,강동구,37.5552364,126.9094245
하나렘넌트장애인주간보호센터,C7844,(장애인) 장애인주간보호시설,장애인지역사회재활시설,마포구,37.6080397,126.9083279
위드그룹홈,C7854,(장애인) 장애인공동생활가정,장애인거주시설,은평구,37.526775,126.9641199
서울시농아노인지원센터,C7885,(장애인) 장애인주간보호시설,장애인지역사회재활시설,용산구,37.9983612,126.9884222
교남시냇가,C7901,(장애인) 중증장애인거주시설,장애인거주시설,파주시,37.5137681,126.9283279
디딤돌주간보호센터,C7904,(장애인) 장애인주간보호시설,장애인지역사회재활시설,동작구,37.5673188,126.8517055
구립강서구직업재활센터,C7913,(장애인) 장애인보호작업장,장애인직업재활시설,강서구,37.5936626,126.9336784
작은숨골공동생활가정,C7919,(장애인) 장애인공동생활가정,장애인거주시설,서대문구,37.583128,126.9277375
서울시립미래형장애인직업재활시설그린내,C7928,(장애인) 장애인근로사업장,장애인직업재활시설,서대문구,37.5076873,127.0302444
논현제2공동생활가정,C7958,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.6263203,126.913139
포도원복지센터,C7973,(장애인) 장애인단기거주시설,장애인거주시설,은평구,37.5653602,126.9007592
마포구수어통역센터,C7978,(장애인) 수어통역센터,장애인지역사회재활시설,마포구,37.5429899,127.13845
메타아카데미주간보호센터,C7979,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강동구,37.56145,127.088005
