시설명,시설코드,시설종류명(시설유형),시설종류상세명,시설주소,위도,경도
디딤돌공동생활가정,C2183,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 도봉구 우이천로 446-11501호(쌍문동 해밀하우스),37.4963777,127.0319107
역삼주간보호센터,C2194,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강남구 테헤란로8길 36강남문화원 2층,37.5201472,127.0377599
신망애공동생활가정,C2197,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강남구 도산대로50길 33-3401호 (논현동),37.5219251,127.0419793
서로함께공동생활가정,C2198,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강남구 선릉로146길 27-4204호 (청담동),37.6154419,126.9143768
똘레랑스,C2199,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 은평구 연서로21길 31-0,37.5896105,127.0002679
마로니에공동생활가정,C2201,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 종로구 혜화로12길 20-10101호,37.5640016,126.9889272
영락주간보호센터,C2204,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 중구 수표로 33영락교회 교육관 1층,37.5454363,127.0203834
성모주간보호센터,C2207,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 성동구 독서당로44길 25.,37.6543048,127.0131593
지앤지주간보호센터,C2223,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 도봉구 삼양로 574-442층,37.5830838,127.0731912
동문장애인복지관,C2225,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 동대문구 장안벚꽃로 7길 5　,37.658101,127.036278
성민그룹홈,C2226,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 도봉구 우이천로47길 10601호 (쌍문동),37.5574254,127.0129108
파란마음주간보호센터,C2227,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 중구 다산로22길 111층,37.548179,126.9626153
구립용산장애인복지관,C2236,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 용산구 효창원로93길 49 (효창동),37.4820051,127.0250418
서초구립한우리정보문화센터,C2239,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 서초구 남부순환로340길 15  ,37.5152291,127.0212897
다니엘의집4호,C2241,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강남구 도산대로4길 18-6401호 (논현동),37.5649088,126.9245316
행복한 집,C2274,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 마포구 성미산로 165-5,37.6556918,127.0691763
성민복지관,C2280,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 노원구 노원로32길 30-3　,37.5691778,126.8489398
기쁜우리복지관,C5036,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 강서구 허준로 65　,37.6287227,127.0390729
강북장애인종합복지관,C5044,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 강북구 오현로 189강북장애인종합복지관,37.4991639,126.9466497
삼성소리샘복지관,C5102,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 동작구 양녕로30길 19-4(상도동),37.642332,127.0566646
서울시립뇌성마비복지관,C5106,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 노원구 덕릉로70가길 96(상계67동 771)(상계동),37.6422845,127.0578323
서울시립상이군경복지관,C5107,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 노원구 덕릉로70가길 73-0(상계동),37.5555218,127.1484452
서울장애인종합복지관보호작업장,C5161,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 강동구 고덕로 201(고덕동),37.5704464,127.033811
성동장애인종합복지관,C5162,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 성동구 청계천로 506-0　,37.5953654,127.0192147
성북시각장애인복지관,C5163,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 성북구 동소문로25가길 20성북시각장애인복지관,37.4853815,126.9164539
실로암주간보호센터,C5164,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 관악구 조원로 127-2301호,37.5011544,126.8412868
에덴장애인종합복지관,C5165,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 구로구 고척로21가길 84-35　,37.5509,127.0974583
정립회관,C5236,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 광진구 워커힐로 93정립회관,37.5511064,127.1646653
한국시각장애인복지관,C5240,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 강동구 구천면로 645 (상일동),37.3164594,127.3492521
성분도복지관,C5457,(장애인) 장애인복지관,장애인지역사회재활시설,경기도 광주시 국사봉로 159-10  ,37.5198615,126.8699119
양천해누리복지관 ,C5545,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 양천구 목동동로 159목동동로 159 ,37.4830195,126.9411664
실로암시각장애인복지관,C6052,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 관악구 남부순환로 1717 (봉천동),37.6056209,126.907072
서부장애인종합복지관,C6314,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 은평구 갈현로11길 30　,37.5594408,126.9570091
서대문장애인종합복지관,C6476,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 서대문구 북아현로 24,37.4813987,126.8904193
해나무일터,C6557,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 구로구 남부순환로 105라길25-10,37.4514122,126.9137208
장애인주간보호센터청락원,C6667,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 금천구 금하로29길 36.,37.5002903,127.024966
하늘동산,C6684,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 서초구 강남대로65길 195층 (서초동),37.4925076,127.0751123
하상장애인복지관,C6685,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 강남구 개포로 613　,37.5541134,127.0864946
희망의학교,C6714,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 광진구 천호대로 622시민의교회5층(능동),37.5787963,126.9697746
라파엘의집,C6727,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 종로구 필운대로2길 16 (체부동),37.4910746,127.1358452
나눔의집,C6817,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 송파구 송이로31길 569-105호 (문정동 문정시영아파트),37.6213599,127.0836975
다운인의 집,C6851,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 노원구 노원로1길 21902동 1102호,37.4972812,126.9466503
장애인공동생활가정다움이네집,C6853,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 동작구 양녕로22마길 90-02층,37.4892041,127.0210673
사랑의가족,C6909,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 서초구 사임당로20길 16-0A동201호,37.4778403,126.9873153
사랑의그룹홈,C6911,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 서초구 효령로23길 61501호,37.4910746,127.1358452
섬김의집,C6933,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 송파구 송이로31길 569-106호 (문정동 문정시영아파트),37.5901839,127.030219
성북그룹홈1호,C6939,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 성북구 개운사길 60-39성북그룹홈1호,37.6056965,127.0118017
성북그룹홈2호,C6940,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 성북구 보국문로6길 5-11102호 (정릉동 삼우빌라),37.5018531,126.9279559
사랑손공동생활가정소라네,C6945,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 동작구 대방동2길 36502호 (대방동 신건드림원아파트),37.6355332,127.0721617
아름다운집,C6983,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 노원구 공릉로62길 8풍진빌라 B동 302호,37.5355049,127.1402217
아이비해솔그룹홈,C6986,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강동구 양재대로110길 15-5301호,37.5424057,127.1458853
아이비한울그룹홈,C6987,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강동구 양재대로124길 67-143층,37.5485173,127.1431165
아이비잎새그룹홈,C6988,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강동구 양재대로135길 5-1101호,37.5033852,126.9472452
사랑손공동생활가정연희네,C7008,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 동작구 국사봉길 178102동 706호 (상도동 상도1차 갑을명가아파트),37.482982,126.907165
임마누엘관악1공동체공동생활가정,C7037,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 관악구 조원중앙로 44-32층,37.5604172,126.8448669
임마누엘등촌공동체,C7039,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강서구 공항대로39길 74502-902 (등촌동 등촌5단지주공아파트),37.515813,126.907605
임마누엘영등포공동체,C7040,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 영등포구 영신로8길 9201호 (영등포동),37.4972841,127.0583475
충현의집1호,C7108,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강남구 삼성로57길 33-1202호 (대치동 리치빌)(대치동 리치빌),37.5119684,127.0375335
충현의집2호,C7109,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강남구 학동로42길 55-10401호 (논현동)(논현동),37.4711121,127.0457677
충현의집3호,C7110,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 서초구 동산로12길 20301호,37.5219578,127.0417075
충현의집4호,C7111,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강남구 선릉로146길 27-4302호 (청담동)(청담동),37.5213939,127.046505
충현의집5호,C7112,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강남구 삼성로147길 16-10401호 (청담동)(청담동),37.5012055,127.0588004
충현의집6호,C7113,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강남구 삼성로67길 8-7401호 (대치동)(대치동),37.6244803,126.9190146
한마음1호공동생활가정,C7153,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 은평구 통일로89길 5-73층,37.5691778,126.8489398
기쁜우리체육센터,C7183,(장애인) 장애인체육시설,장애인지역사회재활시설,서울특별시 강서구 허준로 65,37.4192954,127.2871091
에스알씨(SRC)재활체육관,C7188,(장애인) 장애인체육시설,장애인지역사회재활시설,경기도 광주시 초월읍 경수길 25에스알씨재활체육관 ,37.6051391,126.9075414
서부재활체육센터,C7190,(장애인) 장애인체육시설,장애인지역사회재활시설,서울특별시 은평구 갈현로11길 30 (구산동),37.4931346,126.9273778
에스알씨(SRC)부설의원,C7535,(장애인) 장애인의료재활시설,장애인의료재활시설,서울특별시 관악구 보라매로 44보라매동,37.4192954,127.2871091
에스알씨(SRC)재활병원,C7536,(장애인) 장애인의료재활시설,장애인의료재활시설,경기도 광주시 경수길 25에스알씨재활병원,37.6056209,126.907072
서울재활병원,C7537,(장애인) 장애인의료재활시설,장애인의료재활시설,서울특별시 은평구 갈현로11길 30-0,37.6693897,127.0464436
도봉장애인보호작업시설,C7581,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 도봉구 마들로 664-172층,37.4844722,127.1288426
마라보호작업장,C7584,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 송파구 송이로34길 43-1,37.5612058,127.1558668
성지보호작업장,C7594,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 강동구 동남로85길 15(고덕동),37.5431512,127.1344386
아이비장애인보호작업장,C7598,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 강동구 천중로 873층,37.6056209,126.907072
은평보호작업장,C7603,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 은평구 갈현로11길 30,37.5165921,126.8715748
하은장애인보호작업장,C7614,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 양천구 목동동로8길 95층 (신정동),37.4811823,126.8760374
EM실천,C7618,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 금천구 서부샛길 648대륭테크노타운6차 1004호,37.5604172,126.8448669
꿈자람터장애인주간보호센터,C7651,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강서구 공항대로43길 104등촌7종합사회복지관 (등촌동 등촌주공78단지아파트),37.642332,127.0566646
서울시립노원시각장애인복지관,C7664,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 노원구 덕릉로70가길 98서울특별시립노원시각장애인복지관,37.5481125,126.85254
늘푸른마을,C7669,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강서구 까치산로22길 38,37.488767,126.9412352
도란도란,C7687,(장애인) 장애유형별거주시설,장애인거주시설,서울특별시 관악구 국회단지길 672층,37.5142656,127.1004868
효명장애인보호작업시설,C7713,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 송파구 올림픽로 269롯데캐슬프라자 810호811호812호,37.4820051,127.0250418
서리풀주간이용센터,C7715,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 서초구 남부순환로340길 15.,37.5052142,126.9464244
동작구수어통역센터,C7718,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 동작구 만양로3길 143층 (노량진동),37.5703795,126.9865051
종로구수어통역센터,C7728,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 종로구 종로17길 83층 (종로2가),37.5463459,126.8725362
양천구수어통역센터,C7729,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 양천구 목동중앙북로 682층 (목동 목동에버하임)(목동 목동에버하임),37.4923757,126.8964518
성락주간보호,C7743,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 영등포구 도림로 3042층,37.5559772,126.9012821
계명원,C7752,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 마포구 동교로 55-10망원동,37.5411879,126.8498024
열린마음하나,C7761,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강서구 초록마을로16길 20201호,37.4972812,126.9466503
삼성그룹홈1호,C7783,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 동작구 양녕로22마길 90-03층,37.4953752,126.8857028
민들레쉼터장애인주간보호시설,C7798,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 구로구 가마산로 2315동 101호 (구로동 보광아파트),37.7955868,126.9227721
실로암 효명의 집,C7820,(장애인) 중증장애인거주시설,장애인거주시설,경기도 양주시 쇠장이길 656(관악구),37.5283635,126.8372185
드림하우스,C7823,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 양천구 곰달래로10길 19-1301호 (신월동),37.5281812,127.1331777
선한복지센터,C7834,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 강동구 양재대로91길 62(성내동 동아아파트상가4층),37.536305,127.1417072
사랑나눔강동,C7835,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강동구 양재대로112길 86401호,37.5552364,126.9094245
하나렘넌트장애인주간보호센터,C7844,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 마포구 월드컵로13길 19-13,37.6080397,126.9083279
위드그룹홈,C7854,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 은평구 갈현로15길 11-13302호 (구산동),37.526775,126.9641199
서울시농아노인지원센터,C7885,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 용산구 한강대로21길 17-72층,37.9983612,126.9884222
교남시냇가,C7901,(장애인) 중증장애인거주시설,장애인거주시설,경기 파주시 적성면어못내길 94-42,37.5137681,126.9283279
디딤돌주간보호센터,C7904,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 동작구 대방동7길 571층 101호 (대방동 한빛빌라),37.5673188,126.8517055
구립강서구직업재활센터,C7913,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 강서구 허준로 95-9외 1번지 (가양동),37.5936626,126.9336784
작은숨골공동생활가정,C7919,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 서대문구 연희로41가길 103-7.,37.583128,126.9277375
서울시립미래형장애인직업재활시설그린내,C7928,(장애인) 장애인근로사업장,장애인직업재활시설,서울특별시 서대문구 명지2길 14-0(홍은동),37.5076873,127.0302444
논현제2공동생활가정,C7958,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강남구 논현로113길 38-1301호 (논현동),37.6263203,126.913139
포도원복지센터,C7973,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 은평구 갈현로41길 48,37.5653602,126.9007592
마포구수어통역센터,C7978,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 마포구 월드컵로 213마포장애인복지회관 3층 (성산동),37.5429899,127.13845
메타아카데미주간보호센터,C7979,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강동구 양재대로121길 25202호,37.56145,127.088005
하나인장애인주간보호센터,C7988,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 광진구 능동로59길 14 (중곡동),37.5535934,127.0791827
희망일터,C7989,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 광진구 천호대로 622 (능동),37.5001842,127.1429091
서울시립미래형장애인직업재활시설굿윌스토어,C7995,(장애인) 장애인근로사업장,장애인직업재활시설,서울특별시 송파구 마천로 226지하1층~지상2층,37.499641,127.0946135
소망의집,C8000,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 송파구 백제고분로 32길 32-1201호,37.4917543,127.148576
사랑의집,C8001,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 송파구 오금로64나길 11-1301호,37.6586615,127.0118912
희망을긷는샘,C8007,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강북구 삼양로163길 31-5101호,37.6740576,127.0502075
내일을 꿈꾸는 사람들,C8008,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 노원구 동일로237바길 11-8101호(상계동),37.5458301,126.8495614
로뎀나무,C8010,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강서구 까치산로18나길 36오성빌라 1층,37.6553816,126.9482092
빛가람장애인시설,C8019,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 은평구 대서문길 36지하 1층 (진관동),37.6017385,127.0693828
아름드리주간보호센터,C8023,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 동대문구 한천로58길 1071층 (이문동),37.5565467,126.8539386
로뎀하우스,C8028,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 강서구 공항대로45가길 29102동 201호 (등촌동),37.4911479,127.1434964
구립송파구장애인보호작업장,C8031,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 송파구 양산로 53층,37.4717051,127.0268883
바우뫼주간보호센터,C8055,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 서초구 바우뫼로 43 1층 ,37.5214269,126.8464281
맑은샘장애인주간보호시설 ,C8056,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 양천구 신월로 192201호 (신월동),37.577313,126.9284616
다솜센터(시립서대문장애인단기보호센터),C8071,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 서대문구 증가로4길 58-16(홍은동),37.4799603,126.8793427
보라매보호작업장,C8077,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 금천구 가산디지털2로 136승일벤처타워302,37.5937517,127.0943747
시립중랑장애인단기거주시설 다운누리,C8078,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 중랑구 겸재로61길 81(망우동),37.5206539,126.831837
드림장애인보호작업장,C8091,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 양천구 지양로 7 (신월동),37.4775292,126.9176719
갑을충의장애인공동생활가정,C8093,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 관악구 난우16길 13-3 (신림동),37.5237608,126.8935345
행복한나무,C8099,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 영등포구 양산로 96 양산로 96 산경물산 A30호(당산동2가),37.4776497,126.9178443
갑을장애인직업휴먼센터,C8102,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 관악구 난우16길 13-7 (신림동),37.5558027,126.9421554
우리마포보호작업장,C8104,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 마포구 신촌로26길 10우리마포보호작업장,37.5026237,127.1454486
송파위더스,C8106,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 송파구 성내천로 333-4333-4 (마천동),37.5029895,127.1278734
렘넌트주간보호센터,C8127,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 송파구 동남로 303-83층 (오금동)(오금동),37.555841,126.94239
우리마포장애인주간이용센터,C8129,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 마포구 신촌로26길 103층,37.5318311,126.833242
해누리하우스,C8130,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 양천구 곰달래로3길 24-12201호 (신월동),37.4991623,127.1473835
사랑나눔송파,C8166,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 송파구 성내천로42길 11301호 (마천동),37.6575525,127.0388777
유일장애인공동생활가정,C8176,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 도봉구 도봉로133길 14A동 301호 (쌍문동 성원하이츠아파트),37.6294416,127.0161425
효정,C8181,(장애인) 장애인근로사업장,장애인직업재활시설,서울특별시 강북구 삼양로77길 38(수유동),37.5613328,127.1609271
한다솜장애인공동생활가정,C8183,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강동구 아리수로74길 31-0201호,37.5806881,126.7991676
다사랑(대한정신보건가족협회),C8186,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 강서구 개화동로7길 3-16,37.647218,127.0195059
프란치스코의집 단기거주시설,C8188,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 강북구 노해로23길 88-18 (수유동),37.5466951,127.0914159
광진구수어통역센터,C8196,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 광진구 아차산로 4173층 (구의동)(구의동),37.5562774,126.8112575
초록등대장애인보호작업장,C8197,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 강서구 송정로1길 19베이스빌딩 2층 (공항동),37.5289655,127.1248031
강동구수어통역센터,C8199,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 강동구 성내로 526층 (성내동),37.5627587,126.8139718
강서나누리센터,C8212,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 강서구 공항대로7가길 21-3,37.5921803,126.9336679
구립서대문장애인공동생활가정,C8213,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 서대문구 연희로41나길 5-6202호 (홍은동),37.4774006,126.917494
갑을장애인주간보호센터,C8222,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 관악구 난우16길 13-72층 (신림동),37.5467035,127.0866254
군자작은예수의집,C8235,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 광진구 자양로35길 7-7군자작은예수의집 (구의동),37.5853934,126.9715852
세종마을푸르메센터(종로장애인복지관),C8237,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 종로구 자하문로 89,37.4805795,126.9440806
꿈터장애인주간보호센터,C8256,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 관악구 쑥고개로13길24 (봉천동),37.504609,127.1119305
함재보호작업장,C8258,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 송파구 송파대로 412124층 (송파동),37.5313786,127.1486292
센터봄,C8260,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 강동구 천호대로1210 4층 (둔촌동),37.6648998,127.0667751
동천하우스6,C8266,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 노원구 한글비석로50길 12301호,37.738166,126.6923722
사회복지법인 에덴복지재단 형원,C8280,(장애인) 장애인근로사업장,장애인직업재활시설,경기도 파주시 소라지로195번길47-20 (신촌동),37.5725071,127.0214373
덕유린장애인단기보호센터,C8294,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 종로구 난계로25길 32403호,37.5701023,126.8229233
성산푸른초장단기보호시설,C8304,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 강서구 양천로30길 142층,37.5677264,126.8239568
성산푸른초장주간보호시설,C8305,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강서구 양천로30길 143층,37.6080397,126.9083279
보라향그룹홈,C8306,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 은평구 갈현로15길 11-13301호 (구산동),37.5383699,126.8449803
열린마음,C8318,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강서구 초록마을로34길61 201호 (화곡동),37.4928785,126.8167559
늘푸름보호작업장,C8328,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 구로구 부일로1나길38(온수동),37.511622,126.850381
희망일굼터,C8367,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 양천구 신정로267 (신정동 양천벤처타운 제804호 B205호)),37.5745006,126.8137365
강서뇌성마비 주간보호,C8368,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강서구 방화대로45길 692층,37.6792447,127.0569031
내일을꿈꾸는사람들2호,C8377,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 노원구 동일로237다길 37201호 (상계동 풀래음파크빌),37.6695157,127.0474327
중증장애인다수고용사업장굿윌스토어밀알도봉점,C8381,(장애인) 장애인근로사업장,장애인직업재활시설,서울특별시 도봉구 마들로 664-17,37.5558027,126.9421554
우리마포재활치료센터,C8392,(장애인) 장애인재활치료시설,장애인지역사회재활시설,서울특별시 마포구 신촌로26길10 (노고산동),37.565063,127.022792
서울특별시중구장애인복지관,C8398,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 중구 퇴계로 460중구종합복지센터 4층,37.4570918,126.8869474
금천구립장애인보호작업장,C8400,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 금천구 한내로 69-15금천한내복지관내 (독산동 주공13단지아파트),37.6366364,127.0149645
너나울공동생활가정,C8401,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강북구 인수봉로60가길 24-7201호 (수유동 다우빌라),37.6409939,127.023611
참사랑너나울주간보호센터,C8402,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강북구 한천로143길 391층 (수유동) ,37.570627,127.0706515
동문엔터프라이즈,C8404,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 동대문구 한천로 58-22층 3층 (장안동),37.5441597,126.8419251
강서구희망센터,C8410,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 강서구 화곡로31길 25지층(화곡동) 서울특별시 강서구 강서로 34길 36 (화곡동),37.5781438,126.9101543
