자치구,동,합계,9세미만,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,위도,경도
종로구,사직동,284,8,16,17,17,23,29,49,55,70,37.5848379,126.9819133
종로구,삼청동,110,0,3,1,3,14,16,22,24,27,37.5962608,126.9676991
종로구,부암동,317,2,9,16,19,23,46,62,67,73,37.6053351,126.9668582
종로구,평창동,538,7,7,24,28,40,79,113,110,130,37.5773553,126.9586242
종로구,무악동,328,5,17,19,12,25,48,54,81,67,37.5718391,126.9619706
종로구,교남동,359,4,11,9,19,35,56,72,94,59,37.5800055,126.9846912
종로구,가회동,177,1,3,15,12,13,19,31,49,34,37.5706457,126.988968
종로구,종로1.2.3.4가동,398,0,1,8,15,32,81,108,89,64,37.5719508,127.0050224
종로구,종로5·6가동,255,1,2,9,15,15,47,59,70,37,37.5769232,127.0043003
종로구,이화동,328,3,7,13,18,21,61,63,69,73,37.5706742,127.0163263
종로구,창신1동,316,2,4,9,11,18,69,94,60,49,37.5744237,127.0108268
종로구,창신2동,486,0,7,21,15,47,88,118,127,63,37.5777563,127.0149653
종로구,창신3동,340,2,9,13,9,19,55,87,92,54,37.5777283,127.0156602
종로구,숭인1동,292,3,9,4,18,31,46,64,70,47,37.5748398,127.0199379
종로구,숭인2동,436,0,7,12,21,29,85,106,115,61,37.5840608,126.9705804
종로구,청운효자동,461,8,32,41,31,32,68,75,99,75,37.586755,127.0003554
종로구,혜화동,590,5,22,23,31,61,76,91,161,120,36.3255706,127.4213488
중구,소공동,29,0,0,1,0,4,6,10,3,5,37.5572302,126.9793303
중구,회현동,296,1,1,4,12,19,48,80,82,49,37.55998,126.9858296
중구,명동,130,1,0,5,8,9,25,31,32,19,37.5600911,126.9955787
중구,필동,173,3,3,5,11,11,29,49,27,35,37.5617581,127.0077164
중구,장충동,198,1,4,6,8,6,20,39,67,47,37.5644798,127.0052446
중구,광희동,250,0,2,8,12,18,34,57,69,50,37.5667292,126.9913019
중구,을지로동,87,0,0,2,4,3,15,35,15,13,37.565064,127.021826
중구,ㄴ,495,1,5,21,15,56,80,107,129,81,37.5674517,127.0214099
중구,황학동,499,5,10,20,38,35,70,123,133,65,37.5547582,126.9644988
중구,중림동,534,8,7,18,19,51,89,131,121,90,37.5615738,127.0194523
중구,신당동,390,1,4,13,15,41,71,79,107,59,37.554376,127.0084746
중구,다산동,653,1,9,25,26,40,93,150,187,122,37.554347,127.011001
중구,약수동,892,6,11,19,31,68,130,200,245,182,37.5615738,127.0194523
중구,청구동,634,7,9,15,23,59,111,159,151,100,37.559973,127.018296
중구,동화동,440,13,5,21,20,27,67,98,85,104,37.5321226,126.9903026
용산구,후암동,767,14,25,41,48,76,108,159,168,128,37.5458707,126.9854421
용산구,용산2가동,468,4,6,19,22,45,67,105,115,85,37.5455655,126.9744151
용산구,남영동,549,1,3,14,27,65,128,156,98,57,37.5342605,126.9515837
용산구,원효로2동,469,11,10,15,19,47,70,106,111,80,37.5417318,126.9613055
용산구,효창동,344,5,8,11,16,24,44,81,79,76,37.5383431,126.9584999
용산구,용문동,488,6,14,22,27,30,83,105,125,76,37.5212905,126.973027
용산구,이촌1동,528,12,14,25,23,38,67,86,104,159,37.5268725,126.9541116
용산구,이촌2동,370,8,8,10,23,22,54,89,78,78,37.5323175,126.9949965
용산구,이태원1동,231,4,8,7,10,19,28,43,58,54,37.5407324,126.9897188
용산구,이태원2동,326,3,6,12,14,36,44,63,74,74,37.520402,126.9945799
용산구,서빙고동,380,8,16,19,12,27,63,61,73,101,37.5265039,127.0011919
용산구,보광동,594,4,5,13,29,50,104,132,159,98,37.5435097,126.9696097
용산구,청파동,828,3,20,38,42,82,166,151,189,137,37.5388162,126.9657772
용산구,원효로1동,471,11,9,24,36,53,61,95,108,74,37.5290615,126.9694881
용산구,한강로동,525,7,11,26,23,46,79,80,142,111,37.5311789,127.0062454
용산구,한남동,622,7,7,16,35,55,96,125,179,102,37.5582108,127.0344343
성동구,왕십리2동,663,12,14,28,28,61,84,168,164,104,37.5662583,127.0453796
성동구,마장동,1071,8,35,64,51,74,169,249,247,174,37.5610919,127.0459627
성동구,사근동,383,3,4,15,13,34,45,77,123,69,37.5584261,127.0361028
성동구,행당1동,517,8,12,20,30,38,93,101,126,89,37.55787,127.0292984
성동구,행당2동,906,12,14,31,39,73,146,192,249,150,37.5505499,127.0341139
성동구,응봉동,546,5,14,26,17,45,66,110,134,129,37.5547592,127.0211043
성동구,금호1가동,670,7,8,12,36,53,109,159,161,125,37.5472602,127.0223264
성동구,금호4가동,529,10,9,21,27,38,84,125,122,93,37.5393726,127.0475472
성동구,성수1가1동,585,4,8,36,26,52,125,130,117,87,37.5462887,127.0442133
성동구,성수1가2동,487,5,8,16,24,38,79,108,117,92,37.5394557,127.0540185
성동구,성수2가1동,807,6,16,31,34,51,153,215,183,118,37.5483166,127.0549622
성동구,성수2가3동,426,7,5,18,20,25,82,83,101,85,37.5527653,127.0608277
성동구,송정동,522,8,8,23,24,50,107,115,118,69,37.5640647,127.0554067
성동구,용답동,647,6,8,17,29,51,131,169,156,80,37.5659801,127.031437
성동구,왕십리도선동,992,18,20,38,50,93,171,220,216,166,37.5529815,127.0211044
성동구,금호2.3가동,939,10,15,36,34,79,158,215,230,162,37.5435935,127.0134664
성동구,옥수동,722,14,15,26,49,61,102,154,160,141,37.5374949,127.0705895
광진구,화양동,541,0,4,40,41,49,62,129,133,83,37.5530066,127.0736292
광진구,군자동,795,10,14,33,39,67,156,172,193,111,37.5606486,127.0799594
광진구,중곡1동,674,10,9,24,32,84,119,159,155,82,37.5602037,127.0815433
광진구,중곡2동,872,11,15,35,42,66,156,214,217,116,37.5687026,127.0800152
광진구,중곡3동,754,7,11,26,30,69,128,196,189,98,37.5653701,127.0874036
광진구,중곡4동,1328,11,10,54,65,125,258,333,305,167,37.5535934,127.0791827
광진구,능동,382,3,5,15,24,45,55,74,104,57,37.5424289,127.0857094
광진구,구의1동,814,6,16,46,41,72,138,181,186,128,37.5473444,127.0900148
광진구,구의2동,1091,10,25,45,64,101,208,239,252,147,37.5389296,127.0976813
광진구,구의3동,802,15,18,46,43,84,119,153,170,154,37.5478086,127.1052825
광진구,광장동,725,18,26,38,34,78,111,133,136,151,37.5344848,127.0822379
광진구,자양1동,947,8,13,46,48,74,167,225,221,145,37.5287076,127.0846269
광진구,자양2동,945,11,22,44,39,88,154,244,211,132,37.5337907,127.0729889
광진구,자양3동,809,9,25,34,49,61,123,165,173,170,37.5401508,127.0650175
광진구,자양4동,874,1,10,32,38,62,146,249,209,127,37.5792622,127.0554405
동대문구,회기동,330,0,7,19,18,28,38,69,86,65,37.5928664,127.0656829
동대문구,휘경1동,526,11,5,20,30,44,73,113,148,82,37.5911446,127.0677097
동대문구,휘경2동,891,11,17,34,36,72,117,214,243,147,37.588908,127.0445965
동대문구,청량리동,1268,2,11,33,47,88,160,334,356,237,37.5762288,127.0302138
동대문구,용신동,1466,8,3,52,60,118,251,359,358,257,37.5833567,127.0367969
동대문구,제기동,1391,10,22,45,47,96,199,326,391,255,37.5763402,127.0562953
동대문구,전농1동,1526,12,22,39,62,123,264,370,372,262,37.578451,127.0576841
동대문구,전농2동,926,8,14,29,32,72,150,216,229,176,37.5720638,127.0594611
동대문구,답십리2동,1444,13,20,48,71,114,236,363,359,220,37.5677585,127.0663775
동대문구,장안1동,1716,23,36,54,120,156,283,423,407,214,37.5783962,127.0705438
동대문구,장안2동,1332,14,19,42,58,129,218,339,320,193,37.594477,127.0565167
동대문구,이문1동,809,3,10,35,39,67,120,199,192,144,37.6032541,127.0650987
동대문구,이문2동,995,12,28,38,39,81,145,208,286,158,37.5716467,127.0515179
동대문구,답십리1동,1081,10,23,45,42,96,176,244,265,180,37.6062092,127.0927453
중랑구,면목2동,1266,16,24,35,51,120,239,287,325,169,37.574675,127.0855975
중랑구,면목4동,1262,7,20,35,44,106,231,353,344,122,37.5857565,127.0795427
중랑구,면목5동,623,7,13,17,32,52,131,141,156,74,37.5788965,127.0867362
중랑구,면목7동,1042,9,8,43,40,80,191,261,252,158,37.5998379,127.0871526
중랑구,상봉1동,1400,13,25,55,75,116,275,371,288,182,37.5923388,127.0832922
중랑구,상봉2동,835,6,7,35,27,85,136,217,203,119,37.6011436,127.0805692
중랑구,중화1동,889,12,22,35,40,71,144,227,215,123,37.5949493,127.0748759
중랑구,중화2동,1522,18,14,57,63,124,315,397,334,200,37.6123362,127.0784581
중랑구,묵1동,1486,20,33,65,72,139,221,349,354,233,37.6113617,127.0787546
중랑구,묵2동,915,7,18,41,37,82,168,239,216,107,37.5927,127.0981797
중랑구,망우3동,965,9,17,44,35,78,203,255,208,116,37.6057824,127.0994562
중랑구,신내1동,1923,30,54,67,83,159,277,451,454,348,37.6062543,127.0941517
중랑구,신내2동,1458,11,19,42,63,87,255,453,317,211,37.5873125,127.0874309
중랑구,면목본동,1750,10,18,71,87,163,342,427,414,218,37.582979,127.088014
중랑구,면목3.8동,1319,15,21,39,64,100,246,322,325,187,37.6012551,127.1065397
중랑구,망우본동,1739,11,34,62,83,116,338,413,418,264,37.5980785,127.0145949
성북구,돈암1동,622,8,12,16,23,31,97,129,176,130,37.5978368,127.0107711
성북구,돈암2동,689,10,13,27,23,63,102,130,176,145,37.5858384,127.0213534
성북구,안암동,579,12,39,68,21,41,80,110,119,89,37.5803121,127.0227704
성북구,보문동,602,8,8,27,25,47,109,129,155,94,37.6013925,127.0166034
성북구,정릉1동,680,14,15,24,21,69,87,145,192,113,37.604475,127.0109379
성북구,정릉2동,975,12,18,43,41,94,152,240,228,147,37.6087243,127.0041325
성북구,정릉3동,734,9,16,31,23,56,101,160,194,144,37.6133078,127.006965
성북구,정릉4동,1044,8,20,33,53,98,161,229,256,186,37.6041422,127.0221588
성북구,길음1동,1036,23,47,42,48,121,147,171,270,167,37.606614,127.0272973
성북구,길음2동,605,10,14,24,23,68,89,137,136,104,37.610225,127.0374875
성북구,월곡1동,1178,20,24,34,39,143,166,250,311,191,37.6025867,127.0394902
성북구,월곡2동,903,5,14,32,33,73,156,215,218,157,37.6139744,127.0436564
성북구,장위1동,1089,11,26,41,35,107,215,239,253,162,37.6122528,127.0545994
성북구,장위2동,719,5,12,32,26,68,131,143,189,113,37.6165023,127.0565711
성북구,장위3동,674,9,15,30,43,77,109,157,165,69,37.5909485,127.003439
성북구,성북동,575,4,16,21,36,64,88,101,116,129,37.5939763,127.0105212
성북구,삼선동,860,8,19,20,34,78,126,175,230,170,37.5935604,127.0157427
성북구,동선동,560,4,8,26,28,56,72,107,165,94,37.6001709,127.031602
성북구,종암동,1595,18,34,63,63,137,260,307,375,338,37.6084827,127.0609186
성북구,석관동,1771,13,19,62,76,147,273,473,447,261,37.6406097,127.0140472
강북구,번1동,995,8,14,43,55,88,173,232,245,137,37.6321391,127.0386284
강북구,번2동,1354,8,20,51,52,113,225,322,376,187,37.625834,127.0465718
강북구,번3동,2029,9,25,44,59,152,353,510,632,245,37.6387326,127.0089103
강북구,수유1동,1296,37,57,82,85,107,183,264,285,196,37.6446372,127.0198799
강북구,수유2동,1101,12,27,46,42,85,161,256,275,197,37.63886,127.0231577
강북구,수유3동,1110,7,18,47,63,97,200,274,230,174,37.620695,127.0127143
강북구,삼양동,1376,18,31,62,49,118,258,302,342,196,37.6268335,127.0269077
강북구,미아동,1175,8,17,55,56,85,187,275,304,188,37.615974,127.0336574
강북구,송중동,1433,13,23,54,59,131,226,336,393,198,37.6180845,127.0237133
강북구,송천동,1541,10,17,54,66,127,252,376,422,217,37.6166126,127.0174369
강북구,삼각산동,1246,29,44,40,53,127,204,271,290,188,37.6479697,127.0118806
강북구,우이동,994,5,21,37,41,77,154,229,265,165,37.6351934,127.0191862
강북구,인수동,1791,12,35,77,96,135,305,384,444,303,37.6825072,127.0480747
도봉구,쌍문1동,1123,15,21,45,54,81,181,269,283,174,37.6579969,127.0388217
도봉구,쌍문2동,949,12,17,36,41,80,160,225,219,159,37.6488868,127.027851
도봉구,쌍문3동,828,7,13,45,40,62,136,185,212,128,37.6564409,127.0284897
도봉구,쌍문4동,688,7,20,33,33,49,120,143,144,139,37.6641352,127.0406833
도봉구,방학1동,1502,12,30,59,56,121,268,342,403,211,37.6683016,127.0350997
도봉구,방학2동,1234,17,27,59,44,133,241,288,269,156,37.6591356,127.0279067
도봉구,방학3동,1040,15,28,47,38,85,159,227,224,217,37.6483312,127.0437665
도봉구,창1동,1013,7,17,41,60,88,129,219,260,192,37.6412489,127.0354345
도봉구,창2동,1329,15,22,48,68,124,233,306,323,190,37.6379994,127.0428778
도봉구,창3동,784,7,26,28,34,59,142,166,216,106,37.6521919,127.0515706
도봉구,창4동,1001,12,22,51,43,76,157,206,219,215,37.6519147,127.0390998
도봉구,창5동,997,19,26,53,49,66,165,225,220,174,37.6786055,127.0433486
도봉구,도봉1동,1481,10,18,64,71,139,235,342,358,244,37.6695786,127.0464596
도봉구,도봉2동,1467,14,22,43,76,103,204,366,385,254,37.6209907,127.0677355
노원구,월계1동,1026,6,24,43,32,93,143,217,280,188,37.6324443,127.0507382
노원구,월계2동,2298,21,41,68,101,217,412,622,504,312,37.620919,127.0692367
노원구,월계3동,1962,11,22,58,87,150,295,551,490,298,37.6211412,127.0832634
노원구,공릉2동,1353,23,46,61,60,121,210,302,302,228,37.6405557,127.0725689
노원구,하계1동,2126,8,46,117,124,186,393,535,420,297,37.6320006,127.0679316
노원구,하계2동,993,8,28,47,44,79,169,206,241,171,37.6514398,127.0831273
노원구,중계본동,810,7,31,42,34,95,128,168,170,135,37.6525543,127.077485
노원구,중계1동,729,12,42,31,26,95,129,137,147,110,37.6587195,127.0779568
노원구,중계4동,1529,5,37,44,45,105,292,393,381,227,37.6796616,127.0549865
노원구,상계1동,1906,24,53,85,137,168,267,433,436,303,37.6587754,127.0684857
노원구,상계2동,891,11,32,50,51,90,143,184,190,140,37.6628859,127.0693465
노원구,상계5동,1312,8,26,52,66,122,209,285,315,229,37.6666901,127.0515152
노원구,상계8동,711,11,14,29,68,87,103,127,158,114,37.6644966,127.063792
노원구,상계9동,760,18,18,37,33,73,117,176,150,138,37.6612189,127.0601815
노원구,상계10동,538,7,13,42,34,49,76,116,103,98,37.6637749,127.0753459
노원구,상계3.4동,1647,10,31,41,84,148,263,399,418,253,37.6530259,127.0581539
노원구,상계6.7동,1282,26,38,55,71,124,226,261,244,237,37.6406105,127.0651536
노원구,중계2.3동,3205,15,53,127,117,281,551,803,784,474,37.6248346,127.0737922
노원구,공릉1동,2234,18,39,70,103,174,395,604,523,308,37.6190488,126.9283793
은평구,녹번동,1635,15,29,63,75,136,254,349,420,294,37.6103068,126.9319455
은평구,불광1동,1701,17,39,63,65,151,228,357,426,355,37.623527,126.9167796
은평구,갈현1동,1067,10,26,45,43,100,199,252,231,161,37.6185555,126.9157518
은평구,갈현2동,1235,15,21,65,48,114,207,260,314,191,37.6117223,126.9103085
은평구,구산동,2248,30,77,104,128,276,449,493,435,256,37.6141112,126.9208904
은평구,대조동,1251,9,19,71,55,112,177,276,300,232,37.6006409,126.9267232
은평구,응암1동,1281,27,36,38,72,108,179,260,338,223,37.5945306,126.9231128
은평구,응암2동,942,32,34,34,40,95,134,203,223,147,37.598002,126.9121697
은평구,신사1동,1236,10,26,73,76,118,204,248,300,181,37.5918918,126.9124479
은평구,신사2동,970,13,31,49,41,73,154,213,241,155,37.5849961,126.907314
은평구,증산동,698,4,13,26,41,54,105,173,176,106,37.5840042,126.8955434
은평구,수색동,564,4,19,31,22,40,84,127,150,87,37.6413466,126.9421897
은평구,진관동,1950,39,77,77,92,193,263,376,463,370,37.6215274,126.9276956
은평구,불광2동,1472,15,28,51,66,122,238,351,355,246,37.5922528,126.9157525
은평구,응암3동,1342,11,27,53,63,99,219,286,345,239,37.6044517,126.9169535
은평구,역촌동,2181,40,48,91,122,196,350,478,534,322,37.5782039,126.9386097
서대문구,천연동,755,11,20,25,23,42,114,166,185,169,37.5877538,126.9451388
서대문구,홍제1동,945,12,23,44,38,63,148,210,217,190,37.5939752,126.9495272
서대문구,홍제3동,830,7,10,36,29,65,116,161,231,175,37.5859211,126.9491105
서대문구,홍제2동,608,6,17,24,20,40,84,123,175,119,37.5931972,126.9438888
서대문구,홍은1동,1058,15,21,33,45,76,157,235,257,219,37.5828653,126.9364458
서대문구,홍은2동,1225,15,28,63,55,118,211,267,276,192,37.574005,126.9133923
서대문구,남가좌1동,511,13,10,18,18,41,76,110,124,101,37.5784486,126.9237802
서대문구,남가좌2동,1188,23,26,47,60,105,181,277,282,187,37.5795042,126.9069208
서대문구,북가좌1동,686,11,25,30,33,72,91,135,172,117,37.581421,126.9111143
서대문구,북가좌2동,1613,22,32,65,66,152,244,384,397,251,37.5628962,126.9623598
서대문구,충현동,764,6,11,28,33,70,124,181,159,152,37.5609677,126.9542682
서대문구,북아현동,573,8,18,15,24,36,104,134,144,90,37.5594793,126.9435838
서대문구,신촌동,482,12,12,37,24,39,68,90,100,100,37.5717975,126.9325254
서대문구,연희동,1313,20,26,62,60,87,185,261,352,260,37.5651596,126.89847
마포구,용강동,594,8,17,19,24,70,85,132,143,96,37.5498977,126.9427769
마포구,대흥동,503,8,11,20,32,48,73,104,118,89,37.5496169,126.9476266
마포구,염리동,409,8,3,16,21,44,72,70,103,72,37.5468417,126.934558
마포구,신수동,703,12,18,29,34,75,86,135,192,122,37.5534897,126.9177304
마포구,서교동,686,7,7,46,54,74,97,127,161,113,37.5463089,126.9101219
마포구,합정동,569,3,10,25,29,51,85,106,147,113,37.5551181,126.9055326
마포구,망원1동,824,6,14,27,51,83,130,184,197,132,37.5602564,126.9022268
