자치구,동,합계,9세미만,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,위도,경도
마포구,망원2동,734,7,14,29,29,60,123,154,195,123,37.5644783,126.9220027
마포구,연남동,545,7,11,20,34,38,65,117,134,119,37.5632282,126.9078651
마포구,성산1동,678,7,26,23,34,74,115,136,169,94,37.5657426,126.9033058
마포구,성산2동,2010,18,64,84,95,184,293,449,505,318,37.5781711,126.894616
마포구,상암동,1137,18,49,67,53,115,173,226,233,203,37.5376491,126.9501677
마포구,도화동,750,6,17,33,34,48,113,139,197,163,37.5480085,126.9324192
마포구,서강동,669,14,20,33,29,56,109,132,151,125,37.5468697,126.9521717
마포구,공덕동,1458,19,21,52,60,135,240,309,338,284,37.5541171,126.9569379
마포구,아현동,682,5,18,36,34,62,107,150,144,126,37.5169508,126.8665644
양천구,목1동,708,17,33,38,31,81,99,126,177,106,37.5460906,126.8717032
양천구,목2동,1056,13,21,42,57,121,152,262,217,171,37.5448407,126.8643419
양천구,목3동,896,11,13,38,48,96,162,222,160,146,37.5323423,126.8683419
양천구,목4동,866,13,26,41,43,88,160,176,193,126,37.5329255,126.8313455
양천구,신월1동,1258,7,27,40,55,114,238,349,276,152,37.5249267,126.8445674
양천구,신월2동,999,17,19,35,43,94,149,264,239,139,37.5335914,126.8290407
양천구,신월3동,932,13,24,28,28,95,191,230,220,103,37.519981,126.8365553
양천구,신월4동,899,12,21,34,42,84,147,204,231,124,37.5396466,126.8273457
양천구,신월5동,720,8,11,27,46,61,124,172,163,108,37.5160668,126.8436787
양천구,신월6동,437,11,16,12,17,40,73,121,82,65,37.5218429,126.8346794
양천구,신월7동,1150,8,11,39,42,90,186,296,272,206,37.5184827,126.8542326
양천구,신정1동,565,7,11,20,21,54,89,124,137,102,37.5191779,126.870676
양천구,신정2동,734,18,18,28,37,59,104,192,172,106,37.5150671,126.8548167
양천구,신정3동,2116,26,71,98,94,180,339,504,488,316,37.5169831,126.8643707
양천구,신정6동,462,9,12,35,23,48,73,92,92,78,37.5143723,126.8596492
양천구,신정7동,1401,13,34,50,44,91,233,328,334,274,37.5350651,126.8785078
양천구,목5동,724,9,28,34,32,74,108,116,170,153,37.5233712,126.8586771
양천구,신정4동,1635,17,31,65,87,182,268,396,395,194,37.5464519,126.8623147
강서구,염창동,1072,28,44,50,63,107,143,230,232,175,37.5558122,126.8589261
강서구,등촌1동,735,8,15,42,54,63,88,156,136,173,37.5425909,126.8624812
강서구,등촌2동,728,9,18,23,47,57,106,183,163,122,37.5588666,126.8477051
강서구,등촌3동,3827,7,33,123,149,283,828,1161,719,524,37.5381184,126.8471024
강서구,화곡본동,1417,23,33,65,99,151,237,352,294,163,37.5319531,126.8544552
강서구,화곡2동,774,14,18,32,45,75,147,183,185,75,37.5425905,126.8382335
강서구,화곡3동,854,7,15,26,43,64,127,213,222,137,37.5330091,126.8632873
강서구,화곡4동,966,13,12,31,49,94,178,229,221,139,37.5517566,126.8500661
강서구,화곡6동,948,12,20,56,66,102,168,215,198,111,37.5326759,126.8485388
강서구,화곡8동,1054,11,22,39,54,88,163,257,275,145,37.5691433,126.8403436
강서구,가양1동,831,13,31,48,78,78,138,193,129,123,37.5672827,126.8510926
강서구,가양2동,2458,8,19,69,88,157,511,865,448,293,37.5610056,126.8604808
강서구,가양3동,1705,6,11,36,75,127,300,512,389,249,37.5530061,126.8333727
강서구,발산1동,1489,26,45,56,73,156,278,321,313,221,37.558949,126.8103748
강서구,공항동,1062,17,17,43,50,111,190,273,222,139,37.5714755,126.8122083
강서구,방화1동,1819,31,48,61,95,171,279,422,422,290,37.566671,126.8066809
강서구,방화2동,1604,10,15,47,88,131,267,423,381,242,37.5785856,126.8136239
강서구,방화3동,2002,7,21,43,78,143,344,583,460,323,37.530398,126.8415945
강서구,화곡1동,2123,18,20,81,121,215,359,554,495,260,37.5480629,126.841817
강서구,우장산동,1259,25,30,72,66,136,178,292,294,166,37.4925043,126.8949615
구로구,신도림동,933,13,33,42,73,92,115,205,202,158,37.4929862,126.8757043
구로구,구로1동,518,12,15,20,22,45,70,128,116,90,37.4859324,126.8932857
구로구,구로3동,931,16,16,29,54,82,148,200,222,164,37.4855983,126.8866194
구로구,구로4동,1214,6,17,41,69,106,186,319,308,162,37.5000966,126.8893137
구로구,구로5동,1106,16,17,45,59,92,176,252,288,161,37.5003741,126.8627053
구로구,고척1동,1117,12,24,36,55,96,166,263,300,165,37.5065122,126.8583166
구로구,고척2동,1325,18,25,51,52,115,216,323,324,201,37.4907641,126.8564832
구로구,개봉2동,1448,17,31,51,74,117,221,377,358,202,37.4859037,126.8537616
구로구,개봉3동,1065,10,13,33,43,102,173,276,256,159,37.4967632,126.8450681
구로구,오류1동,1106,20,10,43,77,100,164,255,275,162,37.4939023,126.8314305
구로구,수궁동,1252,21,39,56,86,98,203,286,307,156,37.4823943,126.888251
구로구,가리봉동,539,2,5,13,25,44,106,142,124,78,37.4912925,126.8834535
구로구,구로2동,1427,11,26,41,64,112,266,339,357,211,37.5021516,126.8471508
구로구,개봉1동,1728,16,39,78,92,151,276,421,390,265,37.4887641,126.8395129
구로구,오류2동,2018,31,70,87,103,193,299,448,510,277,37.481088,126.8250625
구로구,항동,553,23,19,32,47,74,75,131,93,59,37.4518527,126.9020358
금천구,가산동,743,9,6,45,50,83,135,163,168,84,37.4700734,126.8969528
금천구,독산1동,1975,23,31,72,102,183,388,482,455,239,37.4659619,126.8997027
금천구,독산2동,982,8,25,30,47,76,212,243,228,113,37.4765728,126.9080626
금천구,독산3동,1200,10,18,49,50,113,239,307,263,151,37.4676288,126.9020634
금천구,독산4동,810,7,16,33,40,65,171,206,182,90,37.4535195,126.9031187
금천구,시흥1동,1660,17,33,69,69,136,332,398,385,221,37.4501312,126.9165345
금천구,시흥2동,1142,17,22,34,43,79,218,274,276,179,37.4402712,126.9057858
금천구,시흥3동,564,5,8,15,29,52,92,142,149,72,37.4589629,126.9060902
금천구,시흥4동,1112,8,17,44,51,107,197,276,256,156,37.4492857,126.9104662
금천구,시흥5동,1202,12,21,40,40,102,223,276,289,199,37.5259828,126.9000894
영등포구,여의동,779,15,24,39,41,54,95,142,175,194,37.5249277,126.8974232
영등포구,당산1동,774,7,14,27,44,82,102,171,177,150,37.5347036,126.9021445
영등포구,당산2동,964,10,24,43,71,71,131,192,232,190,37.5236497,126.8882292
영등포구,양평1동,660,7,14,19,47,60,84,143,178,108,37.5377591,126.895923
영등포구,양평2동,604,9,13,23,38,52,99,137,125,108,37.5109018,126.9213373
영등포구,신길1동,828,6,11,30,33,81,114,173,222,158,37.507263,126.9077007
영등포구,신길3동,845,9,15,27,40,77,145,201,218,113,37.508319,126.9113663
영등포구,신길4동,609,3,6,19,31,56,100,139,138,117,37.5015967,126.9052561
영등포구,신길5동,560,11,12,22,18,48,83,135,140,91,37.499347,126.9098667
영등포구,신길6동,731,14,19,32,35,58,115,166,164,128,37.5063464,126.9213654
영등포구,신길7동,573,11,23,32,26,38,88,132,128,95,37.4953754,126.9058392
영등포구,대림1동,811,8,13,24,34,52,146,198,204,132,37.4926816,126.8982291
영등포구,대림2동,734,8,14,30,26,63,113,194,177,109,37.498236,126.8980349
영등포구,대림3동,1146,10,18,52,57,72,205,295,262,175,37.5132559,126.9057791
영등포구,영등포본동,1057,12,19,33,40,97,171,263,257,165,37.5132559,126.9057791
영등포구,영등포동,1053,3,15,44,64,118,208,266,195,140,37.5094016,126.8960068
영등포구,도림동,898,5,13,31,47,79,157,186,228,152,37.5169837,126.8993953
영등포구,문래동,912,11,20,31,46,99,106,188,239,172,37.5242657,126.8964831
영등포구,기타,1,0,0,1,0,0,0,0,0,0,37.476379,126.9735832
동작구,노량진2동,661,5,7,28,31,54,106,171,163,96,37.4989895,126.9377193
동작구,상도1동,1493,17,34,64,63,150,212,345,368,240,37.5054029,126.9422524
동작구,상도2동,976,10,31,46,45,101,147,178,247,171,37.4991534,126.9315036
동작구,상도3동,1134,7,31,41,58,106,175,248,293,175,37.5004864,126.937725
동작구,상도4동,1293,18,60,84,81,116,198,266,277,193,37.476379,126.9735832
동작구,사당1동,806,5,9,51,51,72,105,201,211,101,37.4866557,126.971972
동작구,사당3동,766,8,20,28,49,80,90,176,211,104,37.4809894,126.9715562
동작구,사당4동,576,3,7,17,29,59,96,141,151,73,37.4857107,126.9667226
동작구,사당5동,528,6,11,24,21,52,76,111,136,91,37.5080962,126.9262539
동작구,대방동,1578,14,33,72,62,133,224,419,389,232,37.4889593,126.909978
동작구,신대방1동,827,10,16,46,46,76,145,174,189,125,37.4989034,126.9258932
동작구,신대방2동,707,13,19,29,29,75,88,152,164,138,37.5094857,126.9605285
동작구,흑석동,1119,15,18,29,47,84,172,212,323,219,37.512235,126.9419742
동작구,노량진1동,1229,11,19,49,56,94,183,289,299,229,37.4886556,126.9792213
동작구,사당2동,914,8,9,38,55,70,124,216,229,165,37.4782118,126.9515024
관악구,보라매동,1135,24,21,62,62,102,156,258,266,184,37.4917938,126.9586402
관악구,청림동,664,7,16,11,26,63,97,144,171,129,37.4805452,126.9571127
관악구,행운동,1070,6,20,39,54,101,177,241,268,164,37.4762397,126.9583907
관악구,낙성대동,472,3,6,34,39,39,43,98,128,82,37.4841276,126.9497523
관악구,중앙동,579,6,5,20,36,50,84,128,157,93,37.475074,126.965307
관악구,인헌동,917,7,19,23,58,75,152,224,231,128,37.4675553,126.9794198
관악구,남현동,560,2,4,32,41,44,77,123,153,84,37.4797388,126.9313932
관악구,서원동,804,5,10,45,57,86,124,191,189,97,37.4815445,126.9273105
관악구,신원동,827,2,16,32,49,80,127,194,206,121,37.4749615,126.934949
관악구,서림동,872,12,15,35,60,86,156,184,209,115,37.4852939,126.9180613
관악구,신사동,911,7,20,50,54,105,162,208,182,123,37.4626176,126.9383251
관악구,신림동,554,4,6,52,52,78,67,109,120,66,37.4616858,126.9188389
관악구,난향동,708,14,19,21,28,74,118,150,174,110,37.4810442,126.9090343
관악구,조원동,704,9,13,22,32,65,118,175,168,102,37.470546,126.9368929
관악구,대학동,732,7,14,55,53,76,117,155,163,92,37.4869051,126.94142
관악구,은천동,1687,23,34,64,81,156,281,390,425,233,37.4894329,126.9481693
관악구,성현동,1429,17,23,55,54,133,251,330,341,225,37.4791001,126.9416142
관악구,청룡동,1068,13,18,54,60,92,161,227,277,166,37.4693789,126.9202006
관악구,난곡동,1600,23,33,65,62,149,291,370,399,208,37.470074,126.9329493
관악구,삼성동,1542,12,21,54,67,128,225,339,422,274,37.476128,126.9156168
관악구,미성동,1430,11,34,65,59,123,207,353,392,186,37.483688,127.0329245
서초구,서초1동,488,7,16,20,33,37,68,107,97,103,37.492017,127.0247167
서초구,서초2동,369,9,12,16,27,41,57,73,71,63,37.4836008,127.0124412
서초구,서초3동,731,13,22,53,58,51,90,146,162,136,37.5026266,127.0221057
서초구,서초4동,475,21,24,18,26,58,53,75,110,90,37.514847,127.0143281
서초구,잠원동,540,11,21,30,28,47,69,100,129,105,37.5031833,127.0079167
서초구,반포본동,183,5,9,13,7,17,27,27,39,39,37.506043,127.0126625
서초구,반포1동,562,11,15,17,41,55,86,120,122,95,37.5044869,126.9944423
서초구,반포2동,245,5,10,12,8,30,22,37,83,38,37.5119312,127.0055521
서초구,반포3동,352,9,16,21,27,30,37,51,92,69,37.4975719,127.000386
서초구,반포4동,347,7,16,15,17,37,44,63,64,84,37.4941271,126.9887762
서초구,방배본동,460,3,14,15,27,50,87,88,91,85,37.4832955,126.9944149
서초구,방배1동,479,9,8,16,31,47,57,110,119,82,37.4798788,126.9854989
서초구,방배2동,681,9,14,35,26,56,95,163,175,108,37.480185,126.9990806
서초구,방배3동,555,7,14,28,35,48,76,125,127,95,37.4895447,126.9912761
서초구,방배4동,593,11,14,16,29,56,96,112,159,100,37.4844071,127.0361048
서초구,양재1동,1955,38,59,79,97,162,305,508,434,273,37.4707419,127.0413547
서초구,양재2동,673,20,16,26,45,81,104,153,144,84,37.4617711,127.05116
서초구,내곡동,854,28,53,66,59,75,102,168,175,128,37.5172363,127.0473248
강남구,신사동,403,4,16,9,14,29,57,76,97,101,37.5115147,127.0283828
강남구,논현1동,574,8,14,34,52,76,68,119,131,72,37.5135304,127.0315341
강남구,논현2동,513,4,11,24,33,56,69,96,134,86,37.5117931,127.0553802
강남구,삼성1동,289,5,11,14,17,23,50,64,61,44,37.511098,127.0459091
강남구,삼성2동,544,9,22,25,35,55,85,98,126,89,37.4932114,127.0567416
강남구,대치1동,278,5,17,18,11,35,45,36,52,59,37.4994914,127.0610527
강남구,대치4동,398,2,16,20,36,55,72,60,84,53,37.4999072,127.0373932
강남구,역삼1동,765,5,8,32,96,103,119,154,143,105,37.4959889,127.0467425
강남구,역삼2동,638,11,30,26,47,81,102,110,149,82,37.4898434,127.0438136
강남구,도곡1동,390,7,20,23,25,45,56,61,78,75,37.4824625,127.0430492
강남구,도곡2동,503,17,22,21,24,56,61,71,119,112,37.4789643,127.0609282
강남구,개포1동,221,4,4,6,7,16,33,52,61,38,37.4788251,127.0515205
강남구,개포4동,591,18,23,38,36,59,92,134,126,65,37.4810133,127.0801089
강남구,일원본동,718,30,54,46,36,78,126,169,90,89,37.4917961,127.0879606
강남구,일원1동,1089,15,33,37,62,67,176,298,267,134,37.4921008,127.073629
강남구,일원2동,1164,19,29,44,48,81,155,337,304,147,37.4889628,127.105154
강남구,수서동,2150,5,12,52,69,137,380,738,499,258,37.4692712,127.1073203
강남구,세곡동,1967,43,100,107,87,171,298,378,435,348,37.531684,127.0302926
강남구,압구정동,486,5,14,17,25,45,57,79,116,128,37.5231998,127.0486655
강남구,청담동,510,11,21,28,32,48,65,97,109,99,37.5021274,127.0641296
강남구,대치2동,585,9,29,34,35,59,85,116,124,94,37.4896011,127.0687685
강남구,개포2동,423,5,11,24,33,25,74,102,77,72,37.5280898,127.0355331
강남구,기타,1,0,0,0,1,0,0,0,0,0,37.5144321,127.0888491
송파구,풍납1동,670,9,24,28,28,55,88,156,177,105,37.5286251,127.1164568
송파구,풍납2동,828,13,24,41,38,77,130,201,185,119,37.4970185,127.143372
송파구,거여1동,625,4,16,20,57,55,93,149,140,91,37.493491,127.1468718
송파구,거여2동,1011,11,17,43,82,114,186,221,191,146,37.4959357,127.1498994
송파구,마천1동,1229,14,22,55,52,91,212,295,296,192,37.4968796,127.1485105
송파구,마천2동,1229,7,26,50,49,91,244,267,313,182,37.5109334,127.1238455
송파구,방이1동,438,4,19,25,31,42,67,99,82,69,37.5145158,127.1144024
송파구,방이2동,770,7,12,32,51,82,136,178,169,103,37.5154331,127.1343724
송파구,오륜동,293,4,9,21,17,28,31,52,55,76,37.5029895,127.1278734
송파구,오금동,1427,25,39,90,85,117,237,329,281,224,37.5058778,127.1096251
송파구,송파1동,695,6,9,35,59,68,123,154,160,81,37.5022674,127.1166805
송파구,송파2동,523,11,9,36,40,46,80,113,103,85,37.503517,127.1035697
송파구,석촌동,1019,15,18,47,60,127,189,219,208,136,37.5027949,127.0925158
송파구,삼전동,935,13,23,31,68,97,174,227,199,103,37.4954903,127.1217072
송파구,가락본동,767,7,22,32,51,63,136,202,153,101,37.4964619,127.1055147
송파구,가락1동,532,19,13,34,38,50,74,107,126,71,37.498712,127.1266796
송파구,가락2동,929,11,13,61,65,87,158,211,194,129,37.490047,127.1241801
송파구,문정1동,584,10,15,41,51,58,78,116,131,84,37.4898248,127.1108474
송파구,문정2동,519,12,7,37,58,43,61,103,89,109,37.5061273,127.0842945
송파구,잠실본동,800,8,14,35,64,71,145,192,170,101,37.5200285,127.1084342
송파구,잠실4동,437,19,19,19,28,53,59,79,96,65,37.5179042,127.1007366
송파구,잠실6동,371,8,15,22,23,36,45,72,76,74,37.5087379,127.0770452
송파구,잠실7동,211,2,5,12,4,10,23,41,54,60,37.5156676,127.0856413
송파구,잠실2동,569,18,33,29,26,72,64,119,126,82,37.5071834,127.0941266
송파구,잠실3동,691,10,25,33,34,72,73,154,173,117,37.4773867,127.1285282
송파구,장지동,1343,31,64,74,88,124,232,313,253,164,37.4811919,127.1441343
송파구,위례동,841,44,42,42,60,119,147,149,140,98,37.5364293,127.1231762
강동구,강일동,1700,19,73,90,68,158,298,358,366,270,37.5511064,127.1646653
강동구,상일동,926,30,47,57,58,95,126,206,196,111,37.5497341,127.1459813
강동구,명일1동,886,16,20,63,45,82,132,203,189,136,37.5463186,127.1512869
강동구,명일2동,450,7,14,26,29,50,49,106,93,76,37.558983,127.1489257
강동구,고덕1동,718,30,29,37,44,77,115,148,125,113,37.5604551,127.1643122
강동구,고덕2동,811,21,18,49,59,93,163,185,134,89,37.5517335,127.1272331
강동구,암사2동,514,9,16,30,21,39,80,107,127,85,37.5552053,127.1382039
강동구,암사3동,560,17,45,32,34,40,78,121,121,72,37.5450685,127.1367043
강동구,천호1동,1441,22,30,67,74,142,231,366,335,174,37.539763,127.1297892
강동구,천호3동,1314,8,17,46,96,114,220,328,316,169,37.530375,127.1223451
강동구,성내1동,662,13,21,26,38,61,120,142,151,90,37.5323199,127.1294284
강동구,성내2동,1053,8,17,39,59,82,177,269,260,142,37.5259868,127.1329002
강동구,성내3동,886,17,13,43,45,87,141,219,208,113,37.5234321,127.1366779
강동구,둔촌1동,3,0,0,0,1,0,0,2,0,0,37.53332,127.1419272
강동구,둔촌2동,971,22,30,43,46,79,158,216,228,149,37.5514287,127.1325655
강동구,암사1동,1682,15,47,80,81,158,307,386,403,205,37.543462,127.1231788
강동구,천호2동,1735,22,31,76,95,158,310,405,393,245,37.5392074,127.1461206
강동구,길동,1995,20,41,84,120,192,324,496,453,265,37.53889368,127.1435743
